instruction	register	value	before	after	expected	pass
0xd0910	r7	0x12345678	a5a5a5a5a5a5a5a5a5a5a5a5	a5a5a5a57856a5a5a5a5a5a5	a5a5a5a578563412a5a5a5a5	false
0xd0910	r7	0x0004be4c	a5a5a5a5a5a5a5a5a5a5a5a5	a5a5a5a54cbea5a5a5a5a5a5	a5a5a5a54cbe0400a5a5a5a5	false
0xd0910	r7	0xfebf62c4	a5a5a5a5a5a5a5a5a5a5a5a5	a5a5a5a5c462a5a5a5a5a5a5	a5a5a5a5c462bffea5a5a5a5	false
0xd0910	r7	0xfebf6388	a5a5a5a5a5a5a5a5a5a5a5a5	a5a5a5a58863a5a5a5a5a5a5	a5a5a5a58863bffea5a5a5a5	false
0xd0910	r7	0x00000000	a5a5a5a5a5a5a5a5a5a5a5a5	a5a5a5a50000a5a5a5a5a5a5	a5a5a5a500000000a5a5a5a5	false
0xd0910	r7	0xffffffff	a5a5a5a5a5a5a5a5a5a5a5a5	a5a5a5a5ffffa5a5a5a5a5a5	a5a5a5a5ffffffffa5a5a5a5	false
0xd0cac	r18	0x12345678	a5a5a5a5a5a5a5a5a5a5a5a5	a5a5a5a57856a5a5a5a5a5a5	a5a5a5a578563412a5a5a5a5	false
0xd0cac	r18	0x0004be4c	a5a5a5a5a5a5a5a5a5a5a5a5	a5a5a5a54cbea5a5a5a5a5a5	a5a5a5a54cbe0400a5a5a5a5	false
0xd0cac	r18	0xfebf62c4	a5a5a5a5a5a5a5a5a5a5a5a5	a5a5a5a5c462a5a5a5a5a5a5	a5a5a5a5c462bffea5a5a5a5	false
0xd0cac	r18	0xfebf6388	a5a5a5a5a5a5a5a5a5a5a5a5	a5a5a5a58863a5a5a5a5a5a5	a5a5a5a58863bffea5a5a5a5	false
0xd0cac	r18	0x00000000	a5a5a5a5a5a5a5a5a5a5a5a5	a5a5a5a50000a5a5a5a5a5a5	a5a5a5a500000000a5a5a5a5	false
0xd0cac	r18	0xffffffff	a5a5a5a5a5a5a5a5a5a5a5a5	a5a5a5a5ffffa5a5a5a5a5a5	a5a5a5a5ffffffffa5a5a5a5	false
